"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Glatiramer Acetate",2.19421084091803e-08,0.07
"Glatiramer Acetate",4.8692504544148e-08,0.08
"Glatiramer Acetate",9.91195042953502e-08,0.09
"Glatiramer Acetate",1.88517714742328e-07,0.1
"Glatiramer Acetate",3.39419700363794e-07,0.11
"Glatiramer Acetate",5.84145763219068e-07,0.12
"Glatiramer Acetate",9.68058836766551e-07,0.13
"Glatiramer Acetate",1.55369398974865e-06,0.14
"Glatiramer Acetate",2.42597084134266e-06,0.15
"Glatiramer Acetate",3.6987447794923e-06,0.16
"Glatiramer Acetate",5.5230112756302e-06,0.17
"Glatiramer Acetate",8.09714930095917e-06,0.18
"Glatiramer Acetate",1.16796779626068e-05,0.19
"Glatiramer Acetate",1.66051088160501e-05,0.2
"Glatiramer Acetate",2.33036096074597e-05,0.21
"Glatiramer Acetate",3.23253593205845e-05,0.22
"Glatiramer Acetate",4.43706766144808e-05,0.23
"Glatiramer Acetate",6.03272530459945e-05,0.24
"Glatiramer Acetate",8.13161300305456e-05,0.25
"Glatiramer Acetate",0.000108748438117545,0.26
"Glatiramer Acetate",0.000144395385919579,0.27
"Glatiramer Acetate",0.000190474565011915,0.28
"Glatiramer Acetate",0.000249756352245849,0.29
"Glatiramer Acetate",0.000325695073985835,0.3
"Glatiramer Acetate",0.000422590686537143,0.31
"Glatiramer Acetate",0.000545788070353668,0.32
"Glatiramer Acetate",0.000701922688608056,0.33
"Glatiramer Acetate",0.000899223389518675,0.34
"Glatiramer Acetate",0.0011478856127941,0.35
"Glatiramer Acetate",0.00146053127896442,0.36
"Glatiramer Acetate",0.00185277528673367,0.37
"Glatiramer Acetate",0.00234392290546575,0.38
"Glatiramer Acetate",0.00295782749691173,0.39
"Glatiramer Acetate",0.00372394395610093,0.4
"Glatiramer Acetate",0.00467861995766867,0.41
"Glatiramer Acetate",0.00586667429398227,0.42
"Glatiramer Acetate",0.00734331876761222,0.43
"Glatiramer Acetate",0.00917648624358907,0.44
"Glatiramer Acetate",0.01144963079518,0.45
"Glatiramer Acetate",0.0142650634096312,0.46
"Glatiramer Acetate",0.0177478736704844,0.47
"Glatiramer Acetate",0.0220504567947179,0.48
"Glatiramer Acetate",0.0273576053528804,0.49
"Glatiramer Acetate",0.0338920202624263,0.5
"Glatiramer Acetate",0.0419199252341508,0.51
"Glatiramer Acetate",0.0517562071292656,0.52
"Glatiramer Acetate",0.0637681251023176,0.53
"Glatiramer Acetate",0.0783761163561839,0.54
"Glatiramer Acetate",0.0960495873948237,0.55
"Glatiramer Acetate",0.117294892690098,0.56
"Glatiramer Acetate",0.142632158634737,0.57
"Glatiramer Acetate",0.172557570640948,0.58
"Glatiramer Acetate",0.207488758260455,0.59
"Glatiramer Acetate",0.247693644572487,0.6
"Glatiramer Acetate",0.293208034455282,0.61
"Glatiramer Acetate",0.343754007458089,0.62
"Glatiramer Acetate",0.398678139612048,0.63
"Glatiramer Acetate",0.456932336420989,0.64
"Glatiramer Acetate",0.517116573304887,0.65
"Glatiramer Acetate",0.577589889626575,0.66
"Glatiramer Acetate",0.636636027746379,0.67
"Glatiramer Acetate",0.692650891608283,0.68
"Glatiramer Acetate",0.744309989704488,0.69
"Glatiramer Acetate",0.790680338419219,0.7
"Glatiramer Acetate",0.831259907630426,0.71
"Glatiramer Acetate",0.865949427375939,0.72
"Glatiramer Acetate",0.894977019715196,0.73
"Glatiramer Acetate",0.91880143602671,0.74
"Glatiramer Acetate",0.938016121923693,0.75
"Glatiramer Acetate",0.953268326049044,0.76
"Glatiramer Acetate",0.965199240901776,0.77
"Glatiramer Acetate",0.974405103728091,0.78
"Glatiramer Acetate",0.981415845542813,0.79
"Glatiramer Acetate",0.986686732757035,0.8
"Glatiramer Acetate",0.990598652676997,0.81
"Glatiramer Acetate",0.993463518874907,0.82
"Glatiramer Acetate",0.995532237482975,0.83
"Glatiramer Acetate",0.997003535797005,0.84
"Glatiramer Acetate",0.998032622088942,0.85
"Glatiramer Acetate",0.998739117420848,0.86
"Glatiramer Acetate",0.999214009833797,0.87
"Glatiramer Acetate",0.999525570355913,0.88
"Glatiramer Acetate",0.999724276454015,0.89
